date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:58:29	23007/23007	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2006:33:48%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/images/logo.png	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/images/logo.png	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:30	23335/23335	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2006:33:47%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/images/logo-black.png	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/images/logo-black.png	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:30	45971/45971	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:35:09%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/index-1.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/index-1.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:30	46074/46074	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:35:10%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/index-2.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/index-2.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:30	52093/52093	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:35:10%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/index-3.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/index-3.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:30	61313/61313	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:35:11%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/index-4.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/index-4.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:31	56419/56419	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:35:12%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/index-5.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/index-5.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:31	44276/44276	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:38:01%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/roomlist-2.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/roomlist-2.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:31	42774/42774	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:38:00%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/roomlist-1.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/roomlist-1.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
08:58:31	49182/49182	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2006:31:56%20GMT	https://htmldesigntemplates.com/html/hotux/bootstrap5/detail-full.html	F:/bookingHotel1/htmldesigntemplates.com/html/hotux/bootstrap5/detail-full.html	(from https://htmldesigntemplates.com/html/hotux/bootstrap5/index.html?fbclid=IwY2xjawKI7mxleHRuA2FlbQIxMABicmlkETFDMkt1U1lBbDhYVTg3N2dJAR5h1a9eXPGKvnimI0ulRGVN_Hz44IqIZJjgI767hfSUm40IH8OeVxvGHJdJWQ_aem_UhG2h0DfRJONO7oLjTbAcg)
